applicant_id,age,annual_income,employment_years,loan_amount,loan_term_months,interest_rate,credit_score,existing_loans,missed_payments_12m,debt_to_income,home_ownership,loan_purpose,default
APP100000,25,504000.0,2.0,118000.0,24,5.67,765.0,2,0,0.117,OWN,business,0
APP100001,55,617000.0,12.3,868000.0,60,6.6,613.0,1,0,0.281,RENT,medical,0
APP100002,50,446000.0,3.4,176000.0,84,5.0,703.0,0,0,0.056,RENT,home_improvement,0
APP100003,40,760000.0,0.4,1137000.0,84,6.4,742.0,1,0,0.214,MORTGAGE,debt_consolidation,1
APP100004,40,415000.0,3.9,229000.0,48,7.07,825.0,2,0,0.138,OWN,business,0
APP100005,59,771000.0,5.9,576000.0,24,7.86,779.0,2,0,0.374,RENT,business,0
APP100006,24,550000.0,6.4,118000.0,84,8.48,790.0,1,0,0.031,MORTGAGE,personal,0
APP100007,52,760000.0,1.8,706000.0,36,7.07,842.0,0,1,0.31,MORTGAGE,business,1
APP100008,30,241000.0,5.0,102000.0,12,5.81,698.0,3,0,0.423,OWN,business,0
APP100009,25,638000.0,8.7,494000.0,12,8.44,796.0,3,1,0.774,RENT,business,1
APP100010,44,520000.0,1.2,771000.0,36,9.24,732.0,0,1,0.494,MORTGAGE,medical,0
APP100011,64,567000.0,1.9,293000.0,60,6.43,661.0,1,0,0.103,RENT,business,0
APP100012,54,614000.0,6.5,657000.0,84,5.34,630.0,1,0,0.153,MORTGAGE,home_improvement,0
APP100013,55,816000.0,6.7,361000.0,84,6.52,684.0,1,1,0.063,OWN,debt_consolidation,0
APP100014,53,812000.0,11.2,840000.0,36,7.1,751.0,0,1,0.345,OWN,business,0
APP100015,56,630000.0,5.3,359000.0,84,10.02,689.0,3,0,0.081,RENT,debt_consolidation,1
APP100016,44,409000.0,5.5,466000.0,24,9.03,728.0,1,0,0.57,RENT,business,1
APP100017,26,275000.0,2.4,349000.0,12,7.49,793.0,1,1,1.269,RENT,education,1
APP100018,58,849000.0,11.5,1212000.0,12,11.68,718.0,0,1,1.428,OWN,education,0
APP100019,41,448000.0,12.0,664000.0,60,7.42,750.0,2,3,0.296,RENT,home_improvement,1
APP100020,43,548000.0,4.8,274000.0,60,10.61,763.0,1,0,0.1,MORTGAGE,medical,0
APP100021,37,907000.0,2.7,306000.0,60,10.19,784.0,0,0,0.067,RENT,home_improvement,0
APP100022,29,549000.0,4.7,121000.0,60,10.03,717.0,0,0,0.044,OWN,business,0
APP100023,62,795000.0,5.1,950000.0,36,8.21,689.0,1,1,0.398,RENT,personal,0
APP100024,56,458000.0,2.6,193000.0,60,7.76,726.0,0,0,0.084,RENT,medical,0
APP100025,49,395000.0,2.9,518000.0,36,7.51,693.0,0,1,0.437,RENT,medical,0
APP100026,39,747000.0,12.0,1157000.0,60,9.37,771.0,1,0,0.31,OWN,home_improvement,0
APP100027,58,643000.0,7.3,234000.0,48,5.76,788.0,2,0,0.091,MORTGAGE,home_improvement,0
APP100028,45,745000.0,4.1,418000.0,36,6.92,836.0,0,1,0.187,RENT,personal,0
APP100029,40,537000.0,2.1,489000.0,12,11.17,677.0,1,0,0.911,OWN,business,1
APP100030,41,1065000.0,3.0,825000.0,24,8.87,726.0,0,0,0.387,MORTGAGE,home_improvement,0
